,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
0,0.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,-1,auroc,0.8150257177207807
1,1.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,-1,auprc,0.7357177834041244
2,2.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,-1,brier,0.1560997269291348
3,3.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,1,auroc,0.5131301840094551
4,4.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,1,auprc,0.3459036844223718
5,5.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,0,1,brier,0.3737983093596879
6,6.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,1,auroc,0.5041755009485065
7,7.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,1,auprc,0.3415770492497721
8,8.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,1,1,brier,0.4254788943511178
9,9.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,1,auroc,0.5041755009485065
10,10.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,1,auprc,0.3415770492497721
11,11.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,2,1,brier,0.4254788943511178
12,12.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,1,auroc,0.5295860954078321
13,13.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,1,auprc,0.3593638823767466
14,14.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,3,1,brier,0.2979980696606049
15,15.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,1,auroc,0.5041755009485065
16,16.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,1,auprc,0.3415770492497721
17,17.0,lab_thrombocytopenia,lab_thrombocytopenia,count,gbm,4,1,brier,0.4254788943511178
